category,title,description,resource,region,statusWord,message
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,af-south-1,UNKNOWN,Unable to list Access Analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Enabled,Ensure that IAM Access analyzer is enabled for all regions.,N/A,ap-southeast-3,OK,Region is not enabled
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,us-east-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,us-east-2,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,us-west-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,us-west-2,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ca-central-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,eu-central-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,eu-west-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,eu-west-2,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,eu-west-3,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,eu-north-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,eu-south-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-northeast-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-northeast-2,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-southeast-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-southeast-2,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-northeast-3,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-south-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,sa-east-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-east-1,OK,Region is not enabled
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,me-south-1,OK,Region is not enabled
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,af-south-1,UNKNOWN,Unable to query for IAM Access Analyzer analyzers: The security token included in the request is invalid.
IAM,Access Analyzer Active Findings,Ensure that IAM Access analyzer findings are reviewed and resolved by taking all necessary actions.,N/A,ap-southeast-3,OK,Region is not enabled
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,us-east-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,us-east-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,us-west-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,us-west-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ca-central-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,eu-central-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,eu-west-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,eu-west-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,eu-west-3,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,eu-north-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,eu-south-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-northeast-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-northeast-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-southeast-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-southeast-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-northeast-3,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-south-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,sa-east-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-east-1,OK,Region is not enabled
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,me-south-1,OK,Region is not enabled
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,af-south-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Validation,ACM certificates should be configured to use DNS validation.,N/A,ap-southeast-3,OK,Region is not enabled
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-east-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-east-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-west-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,us-west-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ca-central-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-central-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-west-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-west-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-west-3,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-north-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,eu-south-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-northeast-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-northeast-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-southeast-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-southeast-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-northeast-3,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-south-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,sa-east-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-east-1,OK,Region is not enabled
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,me-south-1,OK,Region is not enabled
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,af-south-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Certificate Expiry,Detect upcoming expiration of ACM certificates,N/A,ap-southeast-3,OK,Region is not enabled
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-east-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-east-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-west-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,us-west-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ca-central-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-central-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-west-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-west-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-west-3,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-north-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,eu-south-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-northeast-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-northeast-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-southeast-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-southeast-2,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-northeast-3,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-south-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,sa-east-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-east-1,OK,Region is not enabled
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,me-south-1,OK,Region is not enabled
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,af-south-1,UNKNOWN,Unable to list ACM certificates: The security token included in the request is invalid.
ACM,ACM Single Domain Name Certificates,Ensure that ACM single domain name certificates are used instead of wildcard certificates within your AWS account.,N/A,ap-southeast-3,OK,Region is not enabled
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-east-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-east-2,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-west-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,us-west-2,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ca-central-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-central-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-west-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-west-2,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-west-3,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-north-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-northeast-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-northeast-2,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,eu-south-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-southeast-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-southeast-2,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-south-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,sa-east-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,ap-east-1,OK,Region is not enabled
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,me-south-1,OK,Region is not enabled
App Mesh,App Mesh VG Access Logging,Ensure that your Amazon App Mesh virtual gateways have access logging enabled.,N/A,af-south-1,UNKNOWN,Unable to query for App Mesh meshes: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,us-east-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,us-east-2,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,us-west-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,us-west-2,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,ca-central-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,eu-central-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,eu-west-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,eu-west-2,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,eu-west-3,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,eu-north-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,eu-south-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,ap-northeast-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,ap-northeast-2,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,ap-southeast-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,ap-southeast-2,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,ap-northeast-3,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,ap-south-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,sa-east-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,ap-east-1,OK,Region is not enabled
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,me-south-1,OK,Region is not enabled
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,af-south-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway Certificate Rotation,Ensures that Amazon API Gateway APIs have certificates with expiration date more than the rotation limit.,N/A,ap-southeast-3,OK,Region is not enabled
API Gateway,API Gateway CloudWatch Logs,Ensures that Amazon API Gateway API stages have Amazon CloudWatch Logs enabled.,N/A,us-east-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway CloudWatch Logs,Ensures that Amazon API Gateway API stages have Amazon CloudWatch Logs enabled.,N/A,us-east-2,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
API Gateway,API Gateway CloudWatch Logs,Ensures that Amazon API Gateway API stages have Amazon CloudWatch Logs enabled.,N/A,us-west-1,UNKNOWN,Unable to query for API Gateway Rest APIs: The security token included in the request is invalid.
